"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_02335",4.53721214244831,6.23411149693375,3.91334899498425,1.59303744821227,0.11115179036075,0.790163274333113
"PHJJKLOP_02401",5.197927435144,-5.87637758116322,3.60351801474895,-1.630733510173,0.102946562507117,0.790163274333113
"PHJJKLOP_02417",8.3843654566485,-5.27512187276972,3.2551573959494,-1.62054279751077,0.10511572866361,0.790163274333113
"PHJJKLOP_02452",5.39469286908318,-6.44298354426267,3.91216278905712,-1.64691090112217,0.0995763609046145,0.790163274333113
"PHJJKLOP_02462",6.98043988473981,-6.25998152047802,3.88770116497736,-1.61020131302054,0.107353914866679,0.790163274333113
"PHJJKLOP_02468",5.93226489795204,5.8424385411873,3.53591535605527,1.65231289577735,0.0984707817733377,0.790163274333113
"PHJJKLOP_02574",3.74069661611848,-5.9155360360593,3.91454834026124,-1.51116693980193,0.130745923186358,0.790163274333113
"PHJJKLOP_02604",4.53721214244831,6.23411149693375,3.91334899498425,1.59303744821227,0.11115179036075,0.790163274333113
"PHJJKLOP_02675",4.2646658708746,6.14517119927968,3.91376875774362,1.57014161532183,0.116382168835051,0.790163274333113
"PHJJKLOP_02718",3.04455932030824,5.65929409391257,3.75854216988563,1.50571520502184,0.132140298984521,0.790163274333113
"PHJJKLOP_02854",4.6802328967748,6.27730280658126,3.65474393165072,1.71757664120288,0.0858738639956476,0.790163274333113
"PHJJKLOP_02874",4.66986041102253,-6.08019125512106,3.87169134219831,-1.57042251505224,0.116316847837194,0.790163274333113
"PHJJKLOP_02875",3.78101011870692,5.97116809122191,3.91466857902674,1.52533170322849,0.127176384069917,0.790163274333113
"PHJJKLOP_03009",4.40081954837468,-6.1500020554938,3.91337997524064,-1.57153205014691,0.116059115837444,0.790163274333113
"PHJJKLOP_03038",5.28098345804962,-6.4130359812739,3.91227618923403,-1.63920839712737,0.10116986561956,0.790163274333113
"PHJJKLOP_01839",3.53655218560333,5.87526364973845,3.9152128248909,1.5006243370441,0.133452752987214,0.792655613380432
