"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_01878",0,NA,NA,NA,NA,NA
"PHJJKLOP_01879",0,NA,NA,NA,NA,NA
"PHJJKLOP_01880",0,NA,NA,NA,NA,NA
"PHJJKLOP_01881",0,NA,NA,NA,NA,NA
"PHJJKLOP_01882",0,NA,NA,NA,NA,NA
"PHJJKLOP_01883",0,NA,NA,NA,NA,NA
"PHJJKLOP_01884",0,NA,NA,NA,NA,NA
"PHJJKLOP_01885",5.31411637697404,6.48382335270653,3.91228184416357,1.65729965553971,NA,NA
"PHJJKLOP_01887",0,NA,NA,NA,NA,NA
"PHJJKLOP_01888",0,NA,NA,NA,NA,NA
"PHJJKLOP_01889",0,NA,NA,NA,NA,NA
"PHJJKLOP_01890",0,NA,NA,NA,NA,NA
"PHJJKLOP_01891",0,NA,NA,NA,NA,NA
"PHJJKLOP_01892",0,NA,NA,NA,NA,NA
"PHJJKLOP_01894",0,NA,NA,NA,NA,NA
"PHJJKLOP_01895",0,NA,NA,NA,NA,NA
"PHJJKLOP_01896",0,NA,NA,NA,NA,NA
"PHJJKLOP_01897",0,NA,NA,NA,NA,NA
"PHJJKLOP_01898",0,NA,NA,NA,NA,NA
"PHJJKLOP_01899",0,NA,NA,NA,NA,NA
"PHJJKLOP_01900",0,NA,NA,NA,NA,NA
"PHJJKLOP_01901",0,NA,NA,NA,NA,NA
"PHJJKLOP_01903",0,NA,NA,NA,NA,NA
"PHJJKLOP_01904",0,NA,NA,NA,NA,NA
"PHJJKLOP_01905",0,NA,NA,NA,NA,NA
"PHJJKLOP_01906",4.54184422177062,6.25667295883355,3.91322575584824,1.59885305607096,0.109853256904699,NA
"PHJJKLOP_01907",0,NA,NA,NA,NA,NA
"PHJJKLOP_01908",0,NA,NA,NA,NA,NA
"PHJJKLOP_01910",0,NA,NA,NA,NA,NA
"PHJJKLOP_01912",0,NA,NA,NA,NA,NA
"PHJJKLOP_01913",0,NA,NA,NA,NA,NA
"PHJJKLOP_01914",0,NA,NA,NA,NA,NA
"PHJJKLOP_01915",0,NA,NA,NA,NA,NA
"PHJJKLOP_01916",0,NA,NA,NA,NA,NA
"PHJJKLOP_01917",0,NA,NA,NA,NA,NA
"PHJJKLOP_01918",0,NA,NA,NA,NA,NA
"PHJJKLOP_01919",0,NA,NA,NA,NA,NA
"PHJJKLOP_01920",8.61526901218869,-1.48119381350374,3.28231784127821,-0.451264589576409,0.651798862939557,NA
"PHJJKLOP_01922",0,NA,NA,NA,NA,NA
"PHJJKLOP_01923",0,NA,NA,NA,NA,NA
"PHJJKLOP_01924",4.64998336990802,6.29061424853211,3.91307511530403,1.60758842168133,0.10792534969018,NA
"PHJJKLOP_01925",0,NA,NA,NA,NA,NA
"PHJJKLOP_01926",0,NA,NA,NA,NA,NA
"PHJJKLOP_01927",0,NA,NA,NA,NA,NA
"PHJJKLOP_01928",0,NA,NA,NA,NA,NA
"PHJJKLOP_01930",5.6110864339885,-3.1739785199633,3.25756010306658,-0.974342274445035,0.329886621077305,NA
"PHJJKLOP_01931",1.06751067391072,1.18743075345137,3.8566859264965,0.307888891157403,0.758166879038396,NA
"PHJJKLOP_01933",0,NA,NA,NA,NA,NA
"PHJJKLOP_01934",0.538307285809949,0,4.08045587178678,0,1,NA
"PHJJKLOP_01936",0,NA,NA,NA,NA,NA
"PHJJKLOP_01937",0.684617087604192,-3.49814212898656,3.94834341046201,-0.885977172025477,0.375629828536266,NA
"PHJJKLOP_01939",6.98100740915412,-6.69576867335188,3.82576441451021,-1.75017799003944,NA,NA
"PHJJKLOP_01940",0,NA,NA,NA,NA,NA
"PHJJKLOP_01941",7.41343129667329,3.08451114588404,3.24214583462551,0.95137951937326,0.341411753176239,NA
"PHJJKLOP_01942",0,NA,NA,NA,NA,NA
"PHJJKLOP_01943",0,NA,NA,NA,NA,NA
"PHJJKLOP_01944",0,NA,NA,NA,NA,NA
"PHJJKLOP_01945",0,NA,NA,NA,NA,NA
"PHJJKLOP_01946",0,NA,NA,NA,NA,NA
"PHJJKLOP_01947",0,NA,NA,NA,NA,NA
"PHJJKLOP_01948",0,NA,NA,NA,NA,NA
"PHJJKLOP_01949",0,NA,NA,NA,NA,NA
"PHJJKLOP_01950",0,NA,NA,NA,NA,NA
"PHJJKLOP_01951",0,NA,NA,NA,NA,NA
"PHJJKLOP_01953",6.81526630768501,2.45298516822543,3.50314698775956,0.700223306871356,0.483787858448469,NA
"PHJJKLOP_01955",0,NA,NA,NA,NA,NA
"PHJJKLOP_01956",3.50932213573758,5.88562363544551,3.91512538079915,1.5033039974429,0.13276066977872,NA
"PHJJKLOP_01957",2.48967119687101,0,4.08045587177902,0,1,NA
"PHJJKLOP_01958",0,NA,NA,NA,NA,NA
"PHJJKLOP_01959",0,NA,NA,NA,NA,NA
"PHJJKLOP_01960",0,NA,NA,NA,NA,NA
"PHJJKLOP_01961",20.6217038169083,-2.65605756478432,3.23003546425226,-0.8222998150267,NA,NA
"PHJJKLOP_01962",0,NA,NA,NA,NA,NA
"PHJJKLOP_01963",0,NA,NA,NA,NA,NA
"PHJJKLOP_01964",0,NA,NA,NA,NA,NA
"PHJJKLOP_01965",0,NA,NA,NA,NA,NA
"PHJJKLOP_01966",0,NA,NA,NA,NA,NA
