"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_01194",3009.88088069067,2.53035664558897,0.0688426221677641,36.7556691757425,9.43811784237548e-296,1.56987360111512e-294
"PHJJKLOP_00697",34770.1289770171,-2.01364455689522,0.0548301911669065,-36.7251055311035,2.90351561144512e-295,4.80283190092082e-294
"PHJJKLOP_02221",6951.46776047861,2.54172157367184,0.0693338246334084,36.6591860049663,3.26696019934773e-294,5.37432903123468e-293
"PHJJKLOP_00704",32064.52641104,-2.20252308069605,0.0601212338987642,-36.6346952293893,8.02080865356404e-294,1.31225689118966e-292
"PHJJKLOP_00833",17298.9474578981,-1.90263125056514,0.0520006322747388,-36.5886176251247,4.33919240558676e-293,7.06062068604715e-292
"PHJJKLOP_01272",118516.930857753,-2.22991621778528,0.061065543180539,-36.5167670938844,6.00982878402356e-292,9.72617696181975e-291
"PHJJKLOP_00281",16016.0482794038,2.20438638350041,0.0605978980760006,36.3772746826253,9.73892195775171e-290,1.56765227642519e-288
"PHJJKLOP_00818",6292.06803871036,2.20647436599084,0.0610476230893109,36.1434934618638,4.70781763546698e-286,7.53754331582253e-285
"PHJJKLOP_02338",4133.59682862975,-2.34421188560993,0.0649800670497025,-36.0758612916922,5.42319600068923e-285,8.63672809896998e-284
"PHJJKLOP_00223",2205.40625843325,-2.65661359426038,0.0737533978887678,-36.0202196821763,4.0366388726589e-284,6.39454856335489e-283
"PHJJKLOP_00194",863.69766566687,4.43402943790941,0.123471804265631,35.9112711139319,2.03741782206354e-282,3.21054155750433e-281
"PHJJKLOP_00204",2834.91608899191,2.35177487581596,0.0657938516224267,35.7445995001503,8.02577014452523e-280,1.25807098495856e-278
"PHJJKLOP_00738",775.373985739701,4.99017730589566,0.139802117650333,35.6945759461018,4.79844319903201e-279,7.48257236349054e-278
"PHJJKLOP_01551",9788.14548121815,2.87585703213204,0.0806531582962042,35.6570913388198,1.82951354308812e-278,2.83811582798229e-277
"PHJJKLOP_01841",6694.54539401419,2.72005413620021,0.0764122786757973,35.5970818216386,1.55443325829765e-277,2.39895524502225e-276
