"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"PHJJKLOP_01580",2.31012728671574,3.95008367067043,4.26681678202959,0,0.90599129696619,0
"PHJJKLOP_01581",833.955950504381,915.431890677871,807.495075999099,108.331096166353,115.966886011672,134.766726619858
"PHJJKLOP_01582",180.189928363827,164.91599325049,186.673234213794,60.9931381776948,76.10326894516,77.2926814437421
"PHJJKLOP_01585",672.247040434279,615.225531706919,592.020828506605,152.938018117205,132.274729357064,145.666976567052
"PHJJKLOP_01586",11484.7978059073,12320.3109688211,11876.6845127794,1898.07004627602,1898.05176714417,1755.93117331168
"PHJJKLOP_01587",730.000222602173,654.726368413623,682.690685124734,371.420901141783,328.874840798727,317.098180282019
"PHJJKLOP_01588",1210.50669823905,1133.67401348241,1237.37686678858,942.207433043494,910.521253451021,916.611927377711
"PHJJKLOP_01589",803.924295777076,782.116566792744,885.364482271139,1912.635571811,1771.2129855689,1773.76794595254
"PHJJKLOP_01590",1992.48478479232,2128.10757757369,1948.86856519201,758.317673164474,740.194889621377,773.917746250802
"PHJJKLOP_01591",2228.11776803733,2149.83303776238,2102.47396934508,917.628108703229,732.946959245648,837.337382307206
"PHJJKLOP_01592",1629.79480077795,1688.66076921161,1657.65831981849,832.055646185269,873.375610275407,801.663837025479
"PHJJKLOP_01593",22677.364510045,21182.3236839702,21555.9583828135,29937.6170464428,29832.4814265027,30444.398102514
"PHJJKLOP_01594",987.579415070977,937.157350866559,1010.1688731455,2438.81518176186,2576.63924857184,2446.61064723845
"PHJJKLOP_01595",347.674156650718,415.746306338062,376.546581014111,656.358994419671,677.68149013071,683.742951233103
"PHJJKLOP_01596",2125.31710377848,2007.63002561824,1948.86856519201,2946.787884794,2815.82095097092,2604.16880556608
"PHJJKLOP_01597",656.076149427269,781.129045875077,682.690685124734,119.255240317582,123.214816387402,138.730453873383
"PHJJKLOP_01598",10037.5030607799,9873.23413484073,9219.52436177043,18082.1896063217,18130.6978348874,17650.4774599479
"PHJJKLOP_01599",2798.71920785611,2637.66837109018,2425.68534058382,2357.79444597357,2464.29632774804,2314.81671605874
"PHJJKLOP_01600",1558.18085488976,1554.35792440881,1420.84998841585,974.069520151245,915.051209935852,911.657268310804
"PHJJKLOP_01601",92.4050914686295,103.689696355099,102.40360276871,331.36570592061,314.378980047268,309.170725774968
"PHJJKLOP_01602",28865.0404475131,31076.2957580819,31208.5646479599,34541.2334608399,34821.7754988955,33920.5869038556
"PHJJKLOP_01603",9912.75618729722,9312.32225360553,9603.53787215309,11334.7099022459,12011.6326151777,11805.9616246249
"PHJJKLOP_01604",1286.74089870066,1446.71814438304,1417.64987582933,1907.17349973538,2403.5949108513,2403.00964744967
"PHJJKLOP_01605",1507.35805458202,1532.63246422013,1607.52322262965,1792.46998614748,1665.21200382386,1861.96087734348
"PHJJKLOP_01606",2437.1842874851,2309.81142642453,2461.95328323107,2781.10503183369,2879.24034175855,2748.84485031975
"PHJJKLOP_01607",830.490759574307,787.054171381082,858.696877383454,545.29686221551,465.679526640622,495.465906690654
"PHJJKLOP_01608",787.753404770066,724.840353568023,670.956938974152,529.820991334602,602.484212482516,552.93995186677
"PHJJKLOP_01609",1992.48478479232,2005.65498378291,2104.60737773609,3932.69189444241,4093.26867969325,4053.90204854293
"PHJJKLOP_01610",705.743886091657,779.154004039742,733.892486509089,1150.67651726278,1250.26798981334,1352.62192526549
"PHJJKLOP_01611",736.93060446232,818.654840746446,778.694062720399,974.069520151245,898.74336659046,885.89304116289
"PHJJKLOP_01612",1421.88334497354,1356.85374087529,1307.77934369207,1139.75237311155,1168.72877308638,1127.68040362793
"PHJJKLOP_01613",2977.75407257658,2847.02280563571,2715.82888176183,1595.83539142536,1532.03128316983,1491.35237913887
"PHJJKLOP_01614",28.8765910839467,14.8128137650141,19.2006755191331,16.3862162268434,11.7778868605605,8.91838632043178
"PHJJKLOP_01615",359.224793084297,361.432655866344,381.880101991648,87.3931532098313,57.07745170887,64.4105678697851
